# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,98,"['6d', '2h']","['6h', '3s']","['As', '5d']",,,1,1
0,Pre-Flop,1,0,0,DISCARD,0,"['6d', '2h']","['6h', '3s']","['As', '5d']",,,2,2
0,Pre-Flop,1,0,0,FOLD,0,"['6d', '2h']","['7s', '3s']","['As', '5d']",,6h,2,2
1,Pre-Flop,1,2,-2,CALL,0,"['5h', '2d']","['5s', '3s']","['4s', '8d']",,,1,1
1,Pre-Flop,0,2,-2,RAISE,98,"['5h', '2d']","['5s', '3s']","['4s', '8d']",,,2,2
1,Pre-Flop,1,2,-2,FOLD,0,"['5h', '2d']","['5s', '3s']","['4s', '8d']",,,2,2
2,Pre-Flop,0,4,-4,RAISE,98,"['Ah', '3s']","['5h', '9s']","['2s', '8d']",,,1,1
2,Pre-Flop,1,4,-4,DISCARD,0,"['Ah', '3s']","['5h', '9s']","['2s', '8d']",,,2,2
2,Pre-Flop,1,4,-4,CALL,0,"['Ah', '3s']","['2h', '9s']","['2s', '8d']",,5h,2,2
2,Flop,0,4,-4,CHECK,0,"['Ah', '3s']","['2h', '9s']","['2s', '8d', '6d']",,5h,100,100
2,Flop,1,4,-4,CHECK,0,"['Ah', '3s']","['2h', '9s']","['2s', '8d', '6d']",,5h,100,100
2,Turn,0,4,-4,CHECK,0,"['Ah', '3s']","['2h', '9s']","['2s', '8d', '6d', '3h']",,5h,100,100
2,Turn,1,4,-4,FOLD,0,"['Ah', '3s']","['2h', '9s']","['2s', '8d', '6d', '3h']",,5h,100,100
3,Pre-Flop,1,104,-104,RAISE,27,"['2h', '2d']","['9h', 'As']","['7h', '3h']",,,1,1
3,Pre-Flop,0,104,-104,RAISE,71,"['2h', '2d']","['9h', 'As']","['7h', '3h']",,,2,2
3,Pre-Flop,1,104,-104,CALL,0,"['2h', '2d']","['9h', 'As']","['7h', '3h']",,,29,29
3,Pre-Flop,0,104,-104,CHECK,0,"['2h', '2d']","['9h', 'As']","['7h', '3h']",,,100,100
3,Flop,1,104,-104,CHECK,0,"['2h', '2d']","['9h', 'As']","['7h', '3h', '6h']",,,100,100
3,Flop,0,104,-104,CHECK,0,"['2h', '2d']","['9h', 'As']","['7h', '3h', '6h']",,,100,100
3,Turn,1,104,-104,CHECK,0,"['2h', '2d']","['9h', 'As']","['7h', '3h', '6h', '8s']",,,100,100
3,Turn,0,104,-104,CHECK,0,"['2h', '2d']","['9h', 'As']","['7h', '3h', '6h', '8s']",,,100,100
3,River,1,104,-104,FOLD,0,"['2h', '2d']","['9h', 'As']","['7h', '3h', '6h', '8s', '5s']",,,100,100
4,Pre-Flop,0,204,-204,RAISE,98,"['8h', 'Ah']","['8d', '3h']","['5d', '9d']",,,1,1
4,Pre-Flop,1,204,-204,DISCARD,0,"['8h', 'Ah']","['8d', '3h']","['5d', '9d']",,,2,2
4,Pre-Flop,1,204,-204,CALL,0,"['8h', 'Ah']","['6h', '3h']","['5d', '9d']",,8d,2,2
4,Flop,0,204,-204,CHECK,0,"['8h', 'Ah']","['6h', '3h']","['5d', '9d', '5h']",,8d,100,100
4,Flop,1,204,-204,CHECK,0,"['8h', 'Ah']","['6h', '3h']","['5d', '9d', '5h']",,8d,100,100
4,Turn,0,204,-204,CHECK,0,"['8h', 'Ah']","['6h', '3h']","['5d', '9d', '5h', '4d']",,8d,100,100
4,Turn,1,204,-204,FOLD,0,"['8h', 'Ah']","['6h', '3h']","['5d', '9d', '5h', '4d']",,8d,100,100
5,Pre-Flop,1,304,-304,RAISE,88,"['9s', '3h']","['8h', '6h']","['Ah', '5s']",,,1,1
5,Pre-Flop,0,304,-304,RAISE,10,"['9s', '3h']","['8h', '6h']","['Ah', '5s']",,,2,2
5,Pre-Flop,1,304,-304,DISCARD,0,"['9s', '3h']","['8h', '6h']","['Ah', '5s']",,,90,90
5,Pre-Flop,1,304,-304,FOLD,0,"['9s', '3h']","['8h', '4d']","['Ah', '5s']",,6h,90,90
6,Pre-Flop,0,394,-394,RAISE,98,"['3d', '9d']","['Ad', '5h']","['6h', '2d']",,,1,1
6,Pre-Flop,1,394,-394,FOLD,0,"['3d', '9d']","['Ad', '5h']","['6h', '2d']",,,2,2
7,Pre-Flop,1,396,-396,CALL,0,"['4h', 'Ad']","['8h', '2h']","['5d', '5s']",,,1,1
7,Pre-Flop,0,396,-396,RAISE,98,"['4h', 'Ad']","['8h', '2h']","['5d', '5s']",,,2,2
7,Pre-Flop,1,396,-396,DISCARD,0,"['4h', 'Ad']","['8h', '2h']","['5d', '5s']",,,2,2
7,Pre-Flop,1,396,-396,CALL,0,"['4h', 'Ad']","['6d', '2h']","['5d', '5s']",,8h,2,2
7,Pre-Flop,0,396,-396,CHECK,0,"['4h', 'Ad']","['6d', '2h']","['5d', '5s']",,8h,100,100
7,Flop,1,396,-396,CHECK,0,"['4h', 'Ad']","['6d', '2h']","['5d', '5s', '3h']",,8h,100,100
7,Flop,0,396,-396,CHECK,0,"['4h', 'Ad']","['6d', '2h']","['5d', '5s', '3h']",,8h,100,100
7,Turn,1,396,-396,FOLD,0,"['4h', 'Ad']","['6d', '2h']","['5d', '5s', '3h', '7d']",,8h,100,100
8,Pre-Flop,0,496,-496,RAISE,98,"['As', '3h']","['5s', '8s']","['4h', '5d']",,,1,1
8,Pre-Flop,1,496,-496,DISCARD,0,"['As', '3h']","['5s', '8s']","['4h', '5d']",,,2,2
8,Pre-Flop,1,496,-496,CALL,0,"['As', '3h']","['6h', '8s']","['4h', '5d']",,5s,2,2
8,Flop,0,496,-496,CHECK,0,"['As', '3h']","['6h', '8s']","['4h', '5d', '8d']",,5s,100,100
8,Flop,1,496,-496,CHECK,0,"['As', '3h']","['6h', '8s']","['4h', '5d', '8d']",,5s,100,100
8,Turn,0,496,-496,CHECK,0,"['As', '3h']","['6h', '8s']","['4h', '5d', '8d', '2d']",,5s,100,100
8,Turn,1,496,-496,FOLD,0,"['As', '3h']","['6h', '8s']","['4h', '5d', '8d', '2d']",,5s,100,100
9,Pre-Flop,1,596,-596,CALL,0,"['2s', '9d']","['5s', '2h']","['8d', '3d']",,,1,1
9,Pre-Flop,0,596,-596,RAISE,98,"['2s', '9d']","['5s', '2h']","['8d', '3d']",,,2,2
9,Pre-Flop,1,596,-596,FOLD,0,"['2s', '9d']","['5s', '2h']","['8d', '3d']",,,2,2
10,Pre-Flop,0,598,-598,RAISE,98,"['5s', '3s']","['7d', '8h']","['4s', '6h']",,,1,1
10,Pre-Flop,1,598,-598,FOLD,0,"['5s', '3s']","['7d', '8h']","['4s', '6h']",,,2,2
11,Pre-Flop,1,600,-600,FOLD,0,"['8h', '7s']","['7d', 'Ad']","['5d', '4s']",,,1,1
12,Pre-Flop,0,601,-601,RAISE,98,"['7s', '8s']","['3d', '8h']","['4d', '9h']",,,1,1
12,Pre-Flop,1,601,-601,FOLD,0,"['7s', '8s']","['3d', '8h']","['4d', '9h']",,,2,2
13,Pre-Flop,1,603,-603,CALL,0,"['4d', '6s']","['3s', '8d']","['9d', '8s']",,,1,1
13,Pre-Flop,0,603,-603,RAISE,98,"['4d', '6s']","['3s', '8d']","['9d', '8s']",,,2,2
13,Pre-Flop,1,603,-603,CALL,0,"['4d', '6s']","['3s', '8d']","['9d', '8s']",,,2,2
13,Pre-Flop,0,603,-603,CHECK,0,"['4d', '6s']","['3s', '8d']","['9d', '8s']",,,100,100
13,Flop,1,603,-603,CHECK,0,"['4d', '6s']","['3s', '8d']","['9d', '8s', '2d']",,,100,100
13,Flop,0,603,-603,CHECK,0,"['4d', '6s']","['3s', '8d']","['9d', '8s', '2d']",,,100,100
13,Turn,1,603,-603,FOLD,0,"['4d', '6s']","['3s', '8d']","['9d', '8s', '2d', '3h']",,,100,100
14,Pre-Flop,0,703,-703,RAISE,98,"['5d', '6d']","['7s', '7h']","['8s', '4d']",,,1,1
14,Pre-Flop,1,703,-703,CALL,0,"['5d', '6d']","['7s', '7h']","['8s', '4d']",,,2,2
14,Flop,0,703,-703,CHECK,0,"['5d', '6d']","['7s', '7h']","['8s', '4d', '3h']",,,100,100
14,Flop,1,703,-703,FOLD,0,"['5d', '6d']","['7s', '7h']","['8s', '4d', '3h']",,,100,100
