# Team 0: Quantum Bluff, Team 1: LeTeam
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,"['6d', 'Ad']","['8d', '7h']","['4s', '8s']",,,1,1
0,Pre-Flop,1,0,0,DISCARD,0,"['6d', 'Ad']","['8d', '7h']","['4s', '8s']",,,2,2
0,Pre-Flop,1,0,0,FOLD,0,"['6d', 'Ad']","['8d', '6h']","['4s', '8s']",,7h,2,2
1,Pre-Flop,1,2,-2,FOLD,0,"['3s', '4d']","['9s', '7s']","['8h', '3h']",,,1,1
2,Pre-Flop,0,3,-3,RAISE,2,"['Ah', '2s']","['4h', '3s']","['5h', '2d']",,,1,1
2,Pre-Flop,1,3,-3,FOLD,0,"['Ah', '2s']","['4h', '3s']","['5h', '2d']",,,2,2
3,Pre-Flop,1,5,-5,FOLD,0,"['3s', '2s']","['4s', '9d']","['As', '6d']",,,1,1
4,Pre-Flop,0,6,-6,RAISE,2,"['3s', '5d']","['3h', '6d']","['4h', '9h']",,,1,1
4,Pre-Flop,1,6,-6,FOLD,0,"['3s', '5d']","['3h', '6d']","['4h', '9h']",,,2,2
5,Pre-Flop,1,8,-8,FOLD,0,"['6s', '7d']","['As', '2s']","['Ad', '4h']",,,1,1
6,Pre-Flop,0,9,-9,RAISE,2,"['Ad', '2d']","['7h', '5d']","['9d', '4h']",,,1,1
6,Pre-Flop,1,9,-9,FOLD,0,"['Ad', '2d']","['7h', '5d']","['9d', '4h']",,,2,2
7,Pre-Flop,1,11,-11,RAISE,98,"['3h', '8h']","['9s', 'As']","['Ad', '2d']",,,1,1
7,Pre-Flop,0,11,-11,FOLD,0,"['3h', '8h']","['9s', 'As']","['Ad', '2d']",,,2,2
8,Pre-Flop,0,9,-9,RAISE,2,"['4s', 'Ah']","['8d', 'As']","['4d', '5h']",,,1,1
8,Pre-Flop,1,9,-9,FOLD,0,"['4s', 'Ah']","['8d', 'As']","['4d', '5h']",,,2,2
9,Pre-Flop,1,11,-11,FOLD,0,"['9h', '4h']","['8h', '5d']","['7d', 'As']",,,1,1
